run_timestamp_utc,evaluation_mode,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,industry_macro_category,firm_size_group,sample_prob_speculative,sample_threshold,graph_model_label,graph_prob_speculative,final_committee_label,committee_success,committee_effect,veto_triggered,hidden_tail_risk_flag,evidence_status,evidence_as_of_date,evidence_items,direct_match_count,verified_item_count,veto_candidate_count,high_confidence_critical_count,provider_statuses,top_evidence_titles,conflict_resolution,final_review_memo,error_message
2026-05-19T14:10:12.825884+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fn_caught_by_stage2_review,KOSDAQ,088290,이원컴포텍(주),2023,2024,2023-12-31,투기등급,투자적격,false_negative,BB,near_speculative_BB_plus_to_BB_minus,manufacturing,small_and_medium,0.3147086048314541,0.315,투자적격,0.3066,보류,True,fn_escalated,False,True,ready,2023-12-31,7,7,7,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",소송등의판결ㆍ결정(지급명령-취하) / 소송등의판결ㆍ결정(지급명령-취하) / 전환사채(해외전환사채포함)발행후만기전사채취득(제7회차),"모델 원판단은 투자적격이지만, 직접 관련 외부 위험 근거가 모델이 놓칠 수 있는 숨은 꼬리위험을 보완해 위원회 의견은 보류로 정리했습니다.","모델 원판단은 투자적격으로 보존합니다. 다만 직접 관련 외부 위험 근거가 확인되어 재무제표 기반 모델이 놓칠 수 있는 FN 가능성을 보완했습니다. 위원회는 최종 의견을 보류로 정리했습니다. 숨은 꼬리위험 보완 플래그: 모델은 투자적격(투기등급 확률 30.7%, 기준선 31.5%)으로 봤지만, 기업 직접 관련 외부 위험 근거 2건 중 검증 가능 근거 2건이 확인되어 FN 가능성을 보수적으로 점검해야 합니다. 출처: opendart.",
2026-05-19T14:10:15.672413+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fn_caught_by_stage2_review,KOSDAQ,311390,(주)네오크레마,2023,2024,2023-12-31,투기등급,투자적격,false_negative,BB+,near_speculative_BB_plus_to_BB_minus,manufacturing,small_and_medium,0.283625267156044,0.315,투자적격,0.2425,적격,False,fn_not_escalated,False,False,ready,2023-12-31,10,10,10,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",[기재정정]감사보고서제출 / 최대주주변경 / 감사보고서제출,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다.","모델 원판단은 투자적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 적격으로 정리했습니다. 주요 위험은 순이익률(-0.199)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 0.027입니다 시장 중앙값은 0.029입니다 산업 내 위치는 6.3백분위입니다. / 자산총계(71,136,284)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 261,112,523입니다 시장 중앙값은 123,474,533입니다 산업 내 위치는 20.3백분위입니다. 완화 요인은 현금비율(0.329)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 0.267입니다 시장 중앙값은 0.394입니다 산업 내 위치는 58.2백분위입니다. / 현금흐름 커버리지(35.631)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 7.370입니다 시장 중앙값은 11.447입니다 산업 내 위치는 73.0백분위입니다. / OCF/매출액(0.091)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 0.058입니다 시장 중앙값은 0.056입니다 산업 내 위치는 67.8백분위입니다.",
2026-05-19T14:10:18.382503+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fn_caught_by_stage2_review,KOSDAQ,038290,(주)마크로젠,2023,2024,2023-12-31,투기등급,투자적격,false_negative,BB+,near_speculative_BB_plus_to_BB_minus,it_services,mid_sized,0.2832689977304288,0.315,투자적격,0.2348,부적격,True,fn_escalated,False,False,ready,2023-12-31,9,9,3,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",감사보고서제출 / 주주명부폐쇄기간또는기준일설정 / 분기보고서 (2023.09),"모델 원판단(투자적격)과 위원회 라벨(부적격)이 달라, 외부 검증 근거와 완화 요인을 함께 고려해 최종 의견을 조정했습니다.","모델 원판단은 투자적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 부적격으로 정리했습니다. 주요 위험은 순이익률(-0.126)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 0.033입니다 시장 중앙값은 0.029입니다 산업 내 위치는 9.2백분위입니다. / 매출총이익(49,239,677)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 111,760,118입니다 시장 중앙값은 16,382,600입니다 산업 내 위치는 40.5백분위입니다. 완화 요인은 산업 대분류(IT·서비스업)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. / 배당금 지급 여부(예)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 1.000입니다 시장 중앙값은 0.000입니다 산업 내 위치는 68.9백분위입니다. / 단기차입금 비중(0.248)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 0.451입니다 시장 중앙값은 0.697입니다 산업 내 위치는 32.1백분위입니다.",
2026-05-19T14:10:19.934786+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fp_needing_committee_mitigation,KOSDAQ,086710,선진뷰티사이언스(주),2023,2024,2023-12-31,투자적격,투기등급,false_positive,A-,upper_investment_A_or_above,manufacturing,small_and_medium,0.3676197289425737,0.315,투자적격,0.3134,보류,True,fp_mitigated,False,False,ready,2023-12-31,7,7,2,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",감사보고서제출 / 주주명부폐쇄기간또는기준일설정 / 분기보고서 (2023.09),"모델 원판단은 투자적격이지만, 정량 해석과 외부/유동성 검증 사이에 추가 점검 여지가 있어 위원회 의견은 보류로 정리했습니다.","모델 원판단은 투자적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 보류로 정리했습니다. 주요 위험은 매출총이익(24,440,673)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 39,346,394입니다 시장 중앙값은 16,382,600입니다 산업 내 위치는 41.0백분위입니다. / 상장연도(2021.000)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 2005.000입니다 시장 중앙값은 2009.000입니다 산업 내 위치는 97.7백분위입니다. 완화 요인은 순이익률(0.092)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 0.027입니다 시장 중앙값은 0.029입니다 산업 내 위치는 83.9백분위입니다. / 배당금 지급 여부(예)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 1.000입니다 시장 중앙값은 0.000입니다 산업 내 위치는 71.6백분위입니다. / 총자산증가율(-0.072)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 0.051입니다 시장 중앙값은 0.060입니다 산업 내 위치는 11.8백분위입니다.",
2026-05-19T14:10:21.613797+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fp_needing_committee_mitigation,KOSPI,079980,(주)휴비스,2023,2024,2023-12-31,투자적격,투기등급,false_positive,BBB+,near_investment_BBB_plus_to_BBB_minus,manufacturing,mid_sized,0.3600017655984642,0.315,부적격,0.3803,보류,True,fp_mitigated,False,False,ready,2023-12-31,11,10,4,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",[기재정정]타인에대한채무보증결정 / [기재정정]타인에대한채무보증결정 / [첨부정정]감사보고서제출,"모델 원판단은 부적격이지만, 과민 경고 가능성과 완화 근거를 함께 보아 위원회 의견은 부적격이 아닌 보류로 정리했습니다.",모델 원판단은 부적격으로 보존합니다. 다만 강한 외부 위험 근거가 확인되지 않았고 완화 근거가 있어 위원회는 최종 의견을 보류로 낮춰 정리했습니다. 과민 경고 완화 검토: 1차 모델은 부적격이지만 강한 외부 위험 근거는 확인되지 않았습니다. 위험확률이 기준선 근처입니다(38.0% vs 기준선 31.5%).,
2026-05-19T14:10:23.026323+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,fp_needing_committee_mitigation,KOSDAQ,053080,케이엔솔(주),2023,2024,2023-12-31,투자적격,투기등급,false_positive,BBB,near_investment_BBB_plus_to_BBB_minus,manufacturing,mid_sized,0.3529088937433356,0.315,투자적격,0.3102,보류,True,fp_mitigated,False,False,ready,2023-12-31,7,7,2,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",타인에대한채무보증결정 / 주주명부폐쇄기간또는기준일설정 / 분기보고서 (2023.09),"모델 원판단은 투자적격이지만, 정량 해석과 외부/유동성 검증 사이에 추가 점검 여지가 있어 위원회 의견은 보류로 정리했습니다.","모델 원판단은 투자적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 보류로 정리했습니다. 주요 위험은 상장연도(2020.000)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 2005.000입니다 시장 중앙값은 2009.000입니다 산업 내 위치는 96.1백분위입니다. / 현금흐름 커버리지(-2.142)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 7.370입니다 시장 중앙값은 11.447입니다 산업 내 위치는 11.8백분위입니다. 완화 요인은 배당금 지급 여부(예)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 1.000입니다 시장 중앙값은 0.000입니다 산업 내 위치는 71.6백분위입니다. / 자본잠식률(-25.077)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 -12.534입니다 시장 중앙값은 -10.960입니다 산업 내 위치는 25.7백분위입니다. / 자산총계(396,459,542)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 261,112,523입니다 시장 중앙값은 123,474,533입니다 산업 내 위치는 58.8백분위입니다.",
2026-05-19T14:10:26.180089+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,bbb_minus_bb_plus_boundary,KOSDAQ,317120,(주)라닉스,2023,2024,2023-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,manufacturing,small_and_medium,0.9559325644351472,0.315,부적격,0.9532,부적격,False,fp_not_mitigated,False,False,ready,2023-12-31,8,8,5,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",전환사채(해외전환사채포함)발행후만기전사채취득 / 주요사항보고서(신주인수권부사채권발행결정) / 전환사채(해외전환사채포함)발행후만기전사채취득(제1회차),"모델 원판단(부적격)과 위원회 라벨(부적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다.","모델 원판단은 부적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 부적격으로 정리했습니다. 주요 위험은 총자산증가율(-0.304)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 0.051입니다 시장 중앙값은 0.060입니다 산업 내 위치는 2.0백분위입니다. / 이자보상배율(-1.922)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 5.560입니다 시장 중앙값은 9.244입니다 산업 내 위치는 10.8백분위입니다. / 자기자본비율(0.364)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 0.530입니다 시장 중앙값은 0.599입니다 산업 내 위치는 19.0백분위입니다. 완화 요인은 부채·유동성 일부 경고는 있으나 현금흐름과 상환여력 완화 요인이 함께 확인되어 모델 원판단을 뒤집기보다 참고 점검 포인트로 처리합니다.",
2026-05-19T14:10:27.698859+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,bbb_minus_bb_plus_boundary,KOSDAQ,222980,한국맥널티(주),2023,2024,2023-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,manufacturing,small_and_medium,0.8424745910594227,0.315,부적격,0.8227,부적격,False,fp_not_mitigated,False,False,ready,2023-12-31,12,12,4,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",감사보고서제출 / 주주명부폐쇄기간또는기준일설정 / 분기보고서 (2023.09),"모델 원판단(부적격)과 위원회 라벨(부적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다.","모델 원판단은 부적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 부적격으로 정리했습니다. 주요 위험은 매출총이익(17,823,674)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 39,346,394입니다 시장 중앙값은 16,382,600입니다 산업 내 위치는 36.4백분위입니다. / 이자보상배율(-1.745)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 5.560입니다 시장 중앙값은 9.244입니다 산업 내 위치는 11.3백분위입니다. / 기업규모 그룹(small_and_medium)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 완화 요인은 상장연도(2015.000)이(가) 현재 모델에서 위험을 낮추는 방향으로 작용했습니다. 산업 중앙값은 2005.000입니다 시장 중앙값은 2009.000입니다 산업 내 위치는 79.3백분위입니다.",
2026-05-19T14:10:29.190617+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,bbb_minus_bb_plus_boundary,KOSDAQ,196700,(주)웹스,2023,2024,2023-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,manufacturing,small_and_medium,0.8104276524755917,0.315,부적격,0.7716,보류,True,fp_mitigated,False,False,ready,2023-12-31,9,9,5,0,0,"{""naver_news"": ""ready"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",[기재정정]유상증자결정(종속회사의주요경영사항) / 유상증자결정(종속회사의주요경영사항) / 감사보고서제출,"모델 원판단은 부적격이지만, 과민 경고 가능성과 완화 근거를 함께 보아 위원회 의견은 부적격이 아닌 보류로 정리했습니다.","모델 원판단은 부적격으로 보존합니다. 다만 강한 외부 위험 근거가 확인되지 않았고 완화 근거가 있어 위원회는 최종 의견을 보류로 낮춰 정리했습니다. 과민 경고 완화 검토: 1차 모델은 부적격이지만 강한 외부 위험 근거는 확인되지 않았습니다. 고확률 과민 경고 방어 신호: 유동성·현금·자본·이자보상·순이익률 핵심 조건과 재무 방어 조건 12개가 충족되고 강한 차단 신호는 0개입니다. 대표 완화 신호는 유동비율 1.2배 이상, 현금비율 15% 이상, 자기자본비율 40% 이상, 부채비율 150% 이하입니다.",
2026-05-19T14:10:31.773277+00:00,historical_test_replay,balanced_current_45_or_near_threshold_0_10,true_positive_risk_explanation,KOSDAQ,123840,(주)뉴온,2023,2024,2023-12-31,투기등급,투기등급,true_positive,B-,deep_speculative_B_plus_or_lower,manufacturing,small_and_medium,0.9878926664973108,0.315,부적격,0.9911,부적격,True,tp_risk_supported,False,False,ready,2023-12-31,6,6,5,2,2,"{""naver_news"": ""no_results"", ""opendart"": ""ready"", ""tavily"": ""no_results""}",주권매매거래정지해제(우회상장 미해당) / 주권매매거래정지(우회상장여부 및 요건충족확인) / 단일판매ㆍ공급계약해지,"모델 원판단(부적격)과 위원회 라벨(부적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다.","모델 원판단은 부적격으로 보존합니다. 위원회는 정량 해석, 부채/유동성 교차 검증, 외부 근거 상태를 함께 검토해 최종 의견을 부적격으로 정리했습니다. 주요 위험은 순이익률(-4.961)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 0.027입니다 시장 중앙값은 0.029입니다 산업 내 위치는 0.1백분위입니다. / 순이익률 변화(3.831)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 -0.002입니다 시장 중앙값은 -0.004입니다 산업 내 위치는 100.0백분위입니다. / 이자보상배율(-8.436)이(가) 현재 모델에서 위험을 높이는 방향으로 작용했습니다. 산업 중앙값은 5.560입니다 시장 중앙값은 9.244입니다 산업 내 위치는 4.1백분위입니다. 명시적 완화 요인은 제한적입니다.",
